date_and_time,name,location,url
2023-08-01 22:00:00,Simmcat (Roma - Live) + Charlène Darling (Fr - Opening) + DJ Féecale (Fr),Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/1224327351594293/
2023-08-02 22:00:00,BNSSR dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/1014511849572895/
2023-08-03 22:00:00,"NZE NZE (Paris, Fr - Live / From UVB76 & Sacred Lodge) + Vic Sinex dj set",Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/784908279699020/
2023-08-04 22:00:00,EDDA GABER - Teatri Improrogabili: “Malato di Brutto” + Steve Pepe dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/797613481711251/
2023-08-05 22:00:00,Arrington De Dionyso (Old Time Relijun) + Pier Panico dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/757502552733924/
2023-08-06 21:00:00,Kinema Fanfulla - WORK THAT LOVE - “Pride” di Matthew Warchus (UK 2014),Fanfulla 5/A Circolo Arci,
2023-08-07 22:00:00,The Telescopes (UK - Live) + Drum Girl & Guitar Boy dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/3415241015425528
2023-08-08 22:00:00,FEMININE dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/962475938223899/
2023-08-09 22:00:00,PENINSULAR SNACK Vol.2: Alfonso Bravo Gallo Lento (live) - UK/ES + Estades (dj) - ES,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/580530394210955
2023-08-10 22:00:00,MISTO MAME Feat. Jazzoux (Fr) + Carrageenan (Belgio) + Dolores (Fr) - Thurston Mourad dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/1386849108544208/
2023-08-11 22:00:00,LATAM FUTURO Off [Mala Fama (EC) Live X Condoii (EC/IT) djset \\ Mamacoca Live X La Diferencia ],Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/3431147533820654/
2023-08-12 22:00:00,Yosa Peit (Berlin / Fire Records - Live) + Pier Panico dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/570884598492608/
2023-08-13 21:00:00,"Kinema Fanfulla - WORK THAT LOVE - “Beau Travail” di Claire Denis (Francia, 1999)",Fanfulla 5/A Circolo Arci,
2023-08-14 22:00:00,Polonius (Fr/Egypt - Live) + Azione Romantica (Sandra Mason + LKSM) dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/1971971586476125/
2023-08-15 22:00:00,HOTLINE TNT (Live - USA) + GLM dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/974793360614460/
2023-08-16 22:00:00,SINCE Nel Bosco - Anteprima,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/539206528245995/
2023-08-17 22:00:00,MAKE R/ M AGAIN feat. TAJ KAJAL DWELLERS / YUKIKO MATSUKURA / CIRO FANELLI,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/288194346891330/
2023-08-18 22:00:00,TOAF EXPERIENCE (Live) + Kybbe/Vic Sinex/Bob Corsi dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/957370245407432/
2023-08-19 22:00:00,"""RAVING"" di McKenzie Wark | Book Launch | Reading | Dj Set",Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/1583543978722470/
2023-08-20 21:00:00,"Kinema Fanfulla - WORK THAT LOVE -“Ce Vieux Rêve qui Bouge” di Alain Guiraudie (Francia, 2001)",Fanfulla 5/A Circolo Arci,
2023-08-21 22:00:00,MAGGIE Closing Party Edition feat. DOCTOR CLEAN (Live) + DISERTA! (Live) + DJ GENIO (dj set),Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/999443191057460/
2023-08-22 22:00:00,NMT (Belgio / From Acte Bonté - Live) + C_C (Francia - Live),Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/997892048053602/
2023-08-23 22:00:00,SENTUHLA' (Spagna - Live) + Kybbe dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/1388189795086842/
2023-08-24 22:00:00,RAMZI (Montreal) & STEVE PEPE (Rome) dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/786213843040298/
2023-08-25 22:00:00,M𝐚t𝐞r𝐢a V𝐢b𝐫a𝐧t𝐞 𝐝i J𝐚n𝐞 𝐁e𝐧n𝐞t𝐭 (†*) / P𝐫e𝐬e𝐧t𝐚z𝐢o𝐧e + D𝐣-𝐒e𝐭,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/275744328322812/
2023-08-26 22:00:00,Rotten Mosh (Noise Industrial) Live al Fanfulla 5/a,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/2239604599568146/
2023-08-27 21:00:00,"Kinema Fanfulla - WORK THAT LOVE - “Born in Flames” di Lizzie Borden (USA, 1983)",Fanfulla 5/A Circolo Arci,
2023-08-28 22:00:00,NED ENSEMBLE (Collettivo di improvvisazione) + Perilongu & RoMauro dj set,Fanfulla 5/A Circolo Arci,https://www.facebook.com/events/969876017535558/
